property_id,price,categories,bedrooms,bathrooms,garage,area,location,amenities,furnished
1606900583-4381,14950,Apartment for Rent,3,4,2,220,"Labone, Accra, Ghana",Listed,Furnished
1606900591-4384,14375,Apartment for Rent,2,2,0,115,"Nyaniba Estates Park, Accra, Ghana",Listed,Furnished
1606900598-4387,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900605-4390,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900614-4393,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900622-4396,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606900629-4398,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606900640-4400,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900647-4403,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900654-4406,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606900661-4409,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900669-4412,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900676-4415,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900682-4417,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900690-4420,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900697-4423,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606900712-4428,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900716-4431,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900722-4434,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900728-4437,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606900735-4440,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606900744-4443,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900749-4446,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900755-4448,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606900764-4452,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606900776-4456,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606900783-4458,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900791-4462,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900800-4465,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900813-4469,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900818-4471,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900826-4474,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606900849-4480,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900856-4483,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900865-4486,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900873-4490,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
